Subset,Model,RMSE,R2,Score,Best_Ep
FD001,BL+Attn,13.2607,0.801,44298.5,23
FD001,Transformer A1,12.9698,0.8096,42638.7,15
FD001,Basit a=0.4,12.7846,0.815,40296.6,—
FD001,GRU Meta,12.7622,0.8157,38549.3,3
