Sensor,Mean_Abs_SHAP,Rank
s11,7.852921602576971,1
s15,6.515470627211034,2
s4,4.405426734369248,3
s9,3.88936084429423,4
s14,3.5786394198735554,5
s7,3.4068355057636897,6
s12,3.314122075624764,7
s6,2.7648560217022897,8
s2,2.644903770424426,9
s17,1.8102525327603023,10
s21,1.7236582281688848,11
s3,1.5340765843944004,12
s20,1.4688661057548598,13
s8,0.9950333110118905,14
s13,0.7462871474275986,15
op1,0.6540521825042863,16
s10,0.24097871635109186,17
op2,0.21276965682705243,18
s19,0.0,19
s18,0.0,20
s5,0.0,21
op3,0.0,22
s1,0.0,23
