Subset,Model,RMSE,R2,Score,Best_Ep
FD004,BL+Attn,14.7211,0.7095,475080.8,6
FD004,Transformer A1,14.2993,0.7259,633188.3,12
FD004,Basit a=0.4,13.877,0.7419,494105.9,—
FD004,GRU Meta,13.8855,0.7416,499873.8,1
