Sensor,Mean_Abs_SHAP,Rank
s11,1.9949317953176797,1
s12,1.9176405839622022,2
s2,1.311449920674495,3
s4,1.2419908982142807,4
s21,1.1591415880899876,5
s7,1.130504713356495,6
s20,1.0545372919505462,7
s17,0.8419989778101444,8
s9,0.841151386421916,9
s8,0.7307319669798017,10
s13,0.7074469085549936,11
s14,0.6909655095383641,12
s3,0.6111407022603089,13
s15,0.402107419706881,14
s6,0.3267406494729221,15
op3,0.0,16
