Subset,Model,RMSE,R2,Score,Best_Ep
FD003,BL+Attn,11.3564,0.8175,42174.9,19
FD003,Transformer A1,10.6069,0.8408,38493.3,27
FD003,Basit a=0.35000000000000003,10.3456,0.8486,34932.7,—
FD003,GRU Meta,10.3665,0.848,34265.3,11
