Subset,Model,Tip,RMSE,R2,Score,Best_Ep
FD004,Aşama1 en iyi,ref,16.239,0.6465,—,—
FD004,Bi-LSTM v2 (A1 ckpt),Aşama2A,18.4406,0.5442,648517.8,(A1)
FD004,MSCNNTransformer,Aşama2A,21.335,0.3899,2044352.2,7
FD004,Basit Ens a=0.95,Aşama2A,18.4239,0.545,650005.4,—
FD004,GRU Meta,Aşama2A,20.9453,0.4119,1437744.2,3
