Subset,Model,Tip,RMSE,R2,Score,Best_Ep,Lambda
FD003,A2B en iyi (Basit Ensemble),A2B_ref,10.346,0.8486,—,—,—
FD003,BL+Attn_Physics,Asama3,10.8966,0.832,46827.1,26,0.02
FD003,Transformer_Physics,Asama3,10.7576,0.8363,34763.6,20,0.02
FD003,Basit_a=0.45,Asama3,10.447,0.8456,34613.5,—,0.02
FD003,GRU_Meta,Asama3,10.4421,0.8457,33416.6,6,0.02
