Subset,Model,RMSE,R2,Score,Best_Ep
FD002,BL+Attn,16.1075,0.7299,214637.1,10
FD002,Transformer A1,15.6653,0.7445,199759.8,6
FD002,Basit a=0.35000000000000003,15.4202,0.7525,184579.9,—
FD002,GRU Meta,15.535,0.7487,168826.1,14
